year,real_return,nominal_return,cape
1988,1.015247974,1.05346308,20
1989,1.333279303,1.403140774,23
1990,0.846615203,0.905628595,18
1991,1.12743466,1.212406015,19
1992,1.135945661,1.184356197,20
1993,1.192715643,1.22261447,23
1994,0.910192982,0.928198357,19
1995,1.204548929,1.236562296,22
1996,1.104798368,1.131263557,23
1997,1.288138735,1.311535617,26
1998,1.139249989,1.157134604,28
1999,1.187227974,1.202908658,32
2000,0.903909648,0.911180035,27
2001,0.856333064,0.866817814,22.36912592
2002,0.784488596,0.794403986,16.37817918
2003,0.883264062,0.895236908,13.39006547
2004,1.427101866,1.446376812,17.95840007
2005,1.179478729,1.203672375,19.73939427
2006,1.11531843,1.141305878,20.10358974
2007,1.023187366,1.046997306,18.54563833
2008,1.036770264,1.074037712,17.64904681
2009,0.546663756,0.558535127,9.107625548
2010,1.662546495,1.717279746,14.07016132
2011,0.932785079,0.97440678,12.10113747
2012,1.064215501,1.09440682,11.97071771
2013,1.151985021,1.181486199,12.96143677
2014,0.992971284,1.007484872,12.37234315
2015,0.990532109,0.99092848,12.1402161
2016,1.166278258,1.174442206,14.78557392
2017,1.087224282,1.116375281,16.71177903
2018,0.892335663,0.91391051,14.36502966
2019,1.146223209,1.16678812,15.54649103
2020,0.727002693,0.733072289,11.14898233
2021,1.428586828,1.4667,15.96987423
2022,0.955073259,1.041509101,15.42257631
2023,1.001770983,1.074207998,14.70786866
2024,1.05819852,1.095499004,14.96620412
